pair_index,domain,seed_role,seed,legacy_training_job,historical_epoch,historical_score,historical_total,start_stage1_checkpoint,treatment_status
0,block_grouping,weak,42,19975579,0,13,20,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture.actprop_2l_comparison_dynamic-2025-01-20T12:05:26.798164_41_hours_not_completed_properly/P/snapshots/snapshot_948_0.250000.pkl",v2_exact_architecture
1,block_grouping,control,2026,19975580,0,14,20,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture.actprop_2l_comparison_dynamic-2025-01-20T12:05:26.798164_41_hours_not_completed_properly/P/snapshots/snapshot_948_0.250000.pkl",v2_exact_architecture
2,drone,weak,2026,19975594,0,4,20,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture.actprop_2l_all_dynamic-2025-07-23T12:05:18.384799/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[603000]-04339159-1d27f5b/snapshots/snapshot_56_0.250000.pkl",v2_exact_architecture
3,drone,control,42,19975593,0,4,20,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture.actprop_2l_all_dynamic-2025-07-23T12:05:18.384799/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[603000]-04339159-1d27f5b/snapshots/snapshot_56_0.250000.pkl",v2_exact_architecture
4,fo_counters,weak,2026,19975608,0,10,20,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture.actprop_2l_fluent-2025-07-22T16:32:02.325216/P[domain,instance_2,instance_3,instance_4]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[603000]-04337986-2745680/snapshots/snapshot_228_1.000000.pkl",v2_exact_architecture
5,fo_counters,control,42,19975607,0,5,20,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture.actprop_2l_fluent-2025-07-22T16:32:02.325216/P[domain,instance_2,instance_3,instance_4]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[603000]-04337986-2745680/snapshots/snapshot_228_1.000000.pkl",v2_exact_architecture
6,rover,weak,42,19975622,0,4,20,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture.actprop_2l_all_dynamic-2025-07-23T15:45:28.566224/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[603000]-04339379-6de1a75/snapshots/snapshot_145_0.750000.pkl",v2_exact_architecture
7,rover,control,2026,19975623,0,4,20,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture.actprop_2l_all_dynamic-2025-07-23T15:45:28.566224/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[603000]-04339379-6de1a75/snapshots/snapshot_145_0.750000.pkl",v2_exact_architecture
8,counters,weak,534933607,20430422,0,,59,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.114960/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-3c74d66/snapshots/snapshot_43_1.000",v2_exact_architecture_historical_epoch0_policy_pending
9,counters,control,2082152039,20430423,0,59,59,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters-2026-08-20T18:13:09.109794/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-faf7d6/snapshots/snapshot_12_1.000",v2_exact_architecture
